Mon	B	Mod	R0	R1	R2	R3	R4	R5	R6	R7	R8	R9	R10	Comments
-8	H	%	0	2	4	6	8	10	12	14	16	18	20	+20% Здоровья
-8	S	+	0	0	0	0	0	1	1	1	1	1	2	+2 к Скорости
-7	A	+	0	0	0	0	1	2	3	4	5	6	7	+7 к Нападению
-7	D	+	0	0	0	1	2	3	4	5	6	7	8	+8 к Защите
-7	m	+	0	0	1	2	3	4	5	6	7	8	9	+9 к мин.урону
-7	M	+	0	1	2	3	4	5	6	7	8	9	10	+10 к макс.урону
-6	A	+	0	0	0	0	1	1	2	3	4	5	6	+6 к Нападению
-6	D	+	0	0	0	1	1	2	3	4	5	6	7	+7 к Защите
-6	m	+	0	0	1	1	2	3	4	5	6	7	8	+8 к мин.урону
-6	M	+	0	1	1	2	3	4	5	6	7	8	9	+9 к макс.урону
-5	A	+	0	0	0	0	1	1	2	2	3	4	5	+5 к Нападению
-5	D	+	0	0	0	1	1	2	2	3	4	5	6	+6 к Защите
-5	m	+	0	0	1	1	2	2	3	4	5	6	7	+7 к мин.урону
-5	M	+	0	1	1	2	2	3	4	5	6	7	8	+8 к макс.урону
-4	A	+	0	0	0	0	1	1	2	2	3	3	4	+4 к Нападению
-4	D	+	0	0	0	1	1	2	2	3	3	4	5	+5 к Защите
-4	m	+	0	0	1	1	2	2	3	3	4	5	6	+6 к мин.урону
-4	M	+	0	1	1	2	2	3	3	4	5	6	7	+7 к макс.урону
-3	A	+	0	0	0	0	1	1	1	2	2	2	3	+3 к Нападению
-3	D	+	0	0	0	1	1	1	2	2	3	3	4	+4 к Защите
-3	m	+	0	0	1	1	1	2	2	3	3	4	5	+5 к мин.урону
-3	M	+	0	1	1	1	2	2	3	3	4	5	6	+6 к макс.урону
-2	A	+	0	0	0	0	0	0	1	1	1	1	2	+2 к Нападению
-2	D	+	0	0	0	0	0	1	1	1	2	2	3	+3 к Защите
-2	m	+	0	0	0	0	1	1	2	2	3	3	4	+4 к мин.урону
-2	M	+	0	0	0	1	1	2	2	3	3	4	5	+5 к макс.урону
-1	A	+	0	0	0	0	0	0	0	0	0	0	1	+1 к Нападению
-1	D	+	0	0	0	0	0	0	1	1	1	1	2	+2 к Защите
-1	m	+	0	0	0	0	0	1	1	1	2	2	3	+3 к мин.урону
-1	M	+	0	0	0	0	1	1	2	2	3	3	4	+4 к макс.урону
0	L	#19	0	1	2	3	4	5	6	7	8	9	10	Копейщик--------->10% шанс заблокировать 20% урона
0	f	f	0	0	0	0	0	0	0	0	0	0	1	Копейщик--------->Бесстрашный
0	h	#58	0	1	2	3	4	5	6	7	8	9	10	Копейщик--------->+100% урона Ходячим Мертвецам
1	L	#19	0	2	4	6	8	10	12	14	16	18	20	Алебардщик------->20% шанс заблокировать 20% урона
1	f	f	0	0	0	0	0	0	0	0	0	0	1	Алебардщик------->Бесстрашный
1	h	#58	0	1	2	3	4	5	6	7	8	9	10	Алебардщик------->+100% урона Ходячим Мертвецам
1	h	#59	0	1	2	3	4	5	6	7	8	9	10	Алебардщик------->+100% урона Зомби
2	b	=	0	1	2	3	4	5	6	7	8	9	10	Арбалетчик------->Снижение защиты на 10%
2	o	=	0	0	0	0	0	0	0	0	0	0	1	Арбалетчик------->Нет штрафов преград
2	h	#100	0	1	2	3	4	5	6	7	8	9	10	Арбалетчик------->+100% урона Ящерам
3	b	=	0	2	4	6	8	10	12	14	16	18	20	Искусн.Арбалетчик>Снижение защиты на 20%
3	o	=	0	0	0	0	0	0	0	0	0	0	1	Искусн.Арбалетчик>Нет штрафов преград
3	h	#100	0	1	2	3	4	5	6	7	8	9	10	Искусн.Арбалетчик>+100% урона Ящерам
3	h	#101	0	1	2	3	4	5	6	7	8	9	10	Искусн.Арбалетчик>+100% урона Ящерам-Войнам
4	L	#120	0	2	4	6	8	10	12	14	16	18	20	Грифон----------->20% шанс заблокировать 20% урона
4	w	B	0	0	0	0	0	0	0	0	0	0	1	Грифон----------->Иммунитет к Ослеплению
4	h	#46	0	1	2	3	4	5	6	7	8	9	10	Грифон----------->+100% урона Адским Гончим
5	L	#120	0	4	8	12	16	20	24	28	32	36	40	Кор.Грифон------->20% шанс заблокировать 40% урона
5	w	B	0	0	0	0	0	0	0	0	0	0	1	Кор.Грифон------->Иммунитет к Ослеплению
5	h	#46	0	1	2	3	4	5	6	7	8	9	10	Кор.Грифон------->+100% урона Адским Гончим
5	h	#47	0	1	2	3	4	5	6	7	8	9	10	Кор.Грифон------->+100% урона Церберам
6	e	=	0	1	2	3	4	5	6	7	8	9	10	Мечник----------->10% шанс смертельного удара
6	s	#41	0	0	0	0	0	1	1	1	1	1	2	Мечник----------->Зачарован: Благословление
6	h	#48	0	1	2	3	4	5	6	7	8	9	10	Мечник----------->+100% урона Демонам
7	e	=	0	2	4	6	8	10	12	14	16	18	20	Крестоносец------>20% шанс смертельного удара
7	s	#41	0	0	0	0	0	1	1	1	1	1	2	Крестоносец------>Зачарован: Благословление
7	h	#48	0	1	2	3	4	5	6	7	8	9	10	Крестоносец------>+100% урона Демонам
7	h	#49	0	1	2	3	4	5	6	7	8	9	10	Крестоносец------>+100% урона Рогатым Демонам
8	r	#25	0	3	6	9	12	15	18	21	24	27	30	Монах------------>25% шанс регенерировать 30 здоровья
8	w	m	0	0	0	0	0	0	0	0	0	0	1	Монах------------>Иммунитет к Магии Разума
8	h	#64	0	1	2	3	4	5	6	7	8	9	10	Монах------------>+100% урона Личам
9	r	#50	0	3	6	9	12	15	18	21	24	27	30	Фанатик---------->50% шанс регенерировать 30 здоровья
9	w	m	0	0	0	0	0	0	0	0	0	0	1	Фанатик---------->Иммунитет к Магии Разума
9	h	#64	0	1	2	3	4	5	6	7	8	9	10	Фанатик---------->+100% урона Личам
9	h	#65	0	1	2	3	4	5	6	7	8	9	10	Фанатик---------->+100% урона Могущественным Личам
10	s	#55	0	0	0	0	0	1	1	1	1	1	2	Кавалерист------->Зачарован: Палач
10	f	B	0	0	0	0	0	0	0	0	0	0	1	Кавалерист------->Дыхание дракона
10	h	#66	0	1	2	3	4	5	6	7	8	9	10	Кавалерист------->+100% урона Чёрным Рыцарям
11	s	#55	0	0	0	0	0	1	1	1	2	2	3	Чемпион---------->Зачарован: Палач
11	f	B	0	0	0	0	0	0	0	0	0	0	1	Чемпион---------->Дыхание дракона
11	h	#66	0	1	2	3	4	5	6	7	8	9	10	Чемпион---------->+100% урона Чёрным Рыцарям
11	h	#67	0	1	2	3	4	5	6	7	8	9	10	Чемпион---------->+100% урона Рыцарям Смерти
12	P	+	0	0	0	0	0	1	1	1	1	1	1	Ангел------------>+1 к количеству колдунств
12	w	R	0	0	0	0	0	0	0	0	0	0	1	Ангел------------>Иммунитет к Армагеддону
13	P	+	0	0	0	0	0	1	1	1	2	2	3	Архангел--------->+3 к количеству колдунств
13	w	R	0	0	0	0	0	0	0	0	0	0	1	Архангел--------->Иммунитет к Армагеддону
14	f	S	0	0	0	0	0	1	1	1	1	1	1	Кентавр---------->Стрелок
14	O	+	0	0	0	0	0	1	1	1	2	2	3	Кентавр---------->+3 к выстрелам
14	f	E	0	0	0	0	0	0	0	0	0	0	1	Кентавр---------->Нет штрафа в рукопашной
14	h	#84	0	1	2	3	4	5	6	7	8	9	10	Кентавр---------->+100% урона Гоблинам
