Creature Type	Exp Mult.	Upg. Mult.	Full R10 Exp	Max % per Battle	R11 Exp	Comment
-1	0.7	0.95	17500	1	12250	1ур
-2	0.6	0.9	35000	1	21000	2ур
-3	0.5	0.85	52500	1	26250	3ур
-4	0.4	0.8	70000	1	28000	4ур
-5	0.3	0.75	87500	1	26250	5ур
-6	0.2	0.7	105000	1	21000	6ур
-7	0.1	0.65	122500	1	12250	7ур
56	0.1	0.95	17500	1	12250	Скелет
57	0.1	0.95	17500	1	12250	Скелет-Воин
132	0.05	0.6	140000	1	7000	Лазурный Дракон
133	0.05	0.6	140000	1	7000	Кристальный Дракон
134	0.05	0.6	140000	1	7000	Сказочный Дракон
135	0.05	0.6	140000	1	7000	Ржавый Дракон
150	0.05	0.6	140000	1	7000	Серафим
151	0.05	0.6	140000	1	7000	Алмазный Дракон
152	0.05	0.6	140000	1	7000	Атлант
153	0.05	0.6	140000	1	7000	Антихрист
154	0.05	0.6	140000	1	7000	Кровавый Дракон
155	0.05	0.6	140000	1	7000	Сумеречный Дракон
156	0.05	0.6	140000	1	7000	Чудище-Привидение
157	0.05	0.6	140000	1	7000	Кошмарная Гидра
158	0.05	0.6	140000	1	7000	Священный Феникс
196	0.05	0.6	140000	1	7000	Драколич
