TYPE 17 (one creature)	Type of creature	142 = frames in zlagport.def	TYPE 20 (to 4 types of creatures, use -1 in order to disable slot)	Creature №1	Creature №2	Creature №3	Creature №4	2 = frames in zlagport.def
Яма Василисков	106 Василиск	0	Сопряжение Стихий	112 Воздушный элементаль	114 Огненный элементаль	113 Элементаль земли	115 Элементаль воды	000
Утес Чудищ	096 Чудище	1	Фабрика Големов	32 Каменный голем	33 Стальной голем	116 Золотой голем	117 Алмазный голем	001
Камень Созерцателей	074 Созерцатель	-1	-1	-1	-1	-1	-1	
Дворец Тьмы	066 Черный Рыцарь	-1	-1	-1	-1	-1	-1	
Склеп Драконов	068 Костяной Дракон	-1	-1	-1	-1	-1	-1	
Манеж	010 Кавалерист	-1	-1	-1	-1	-1	-1	
Конюшни Кентавров	014 Кентавр	-1	-1	-1	-1	-1	-1	
Казармы Пехотинцев	224 Пехотинец	-1	-1	-1	-1	-1	-1	
Портал Славы	012 Ангел	-1	-1	-1	-1	-1	-1	
Пещера Циклопов	094 Циклоп	-1	-1	-1	-1	-1	-1	
Покинутый Дворец	054 Дьявол	-1	-1	-1	-1	-1	-1	
Улей Змиев	104 Змий	-1	-1	-1	-1	-1	-1	
Коттедж Гномов	016 Гном	-1	-1	-1	-1	-1	-1	
Цех Кибернизации	225 Кибер-Зомби	-1	-1	-1	-1	-1	-1	
Огненное Озеро	052 Ифрит	-1	-1	-1	-1	-1	-1	
Эльфийская Усадьба	018 Эльф	-1	-1	-1	-1	-1	-1	
Плавильня	210 Огнемётчик	-1	-1	-1	-1	-1	-1	
Парапет	030 Каменная Горгулья	-1	-1	-1	-1	-1	-1	
Алтарь Желаний	036 Джинн	-1	-1	-1	-1	-1	-1	
Волчий Загон	086 Наездник на Волках	-1	-1	-1	-1	-1	-1	
Хижина Гноллов	098 Гнолл	-1	-1	-1	-1	-1	-1	
Казармы Гоблинов	084 Гоблин	-1	-1	-1	-1	-1	-1	
Чертоги Пороков	044 Гог	-1	-1	-1	-1	-1	-1	
Логово Горгон	102 Горгона	-1	-1	-1	-1	-1	-1	
Драконьи Скалы	026 Зеленый Дракон	-1	-1	-1	-1	-1	-1	
Башня Грифонов	004 Грифон	-1	-1	-1	-1	-1	-1	
Гнездовье Гарпий	072 Гарпия	-1	-1	-1	-1	-1	-1	
Псарни	046 Адская Гончая	-1	-1	-1	-1	-1	-1	
Пруд Гидр	110 Гидра	-1	-1	-1	-1	-1	-1	
Котёл Бесов	042 Бес	-1	-1	-1	-1	-1	-1	
Шалаши Ящеров	100 Ящер	-1	-1	-1	-1	-1	-1	
Башня Магов	034 Маг	-1	-1	-1	-1	-1	-1	
Берлога Мантикор	080 Мантикора	-1	-1	-1	-1	-1	-1	
Зал Застывших Голосов	076 Медуза	-1	-1	-1	-1	-1	-1	
Лабиринт	078 Минотавр	-1	-1	-1	-1	-1	-1	
Монастырь	008 Монах	-1	-1	-1	-1	-1	-1	
Золотой Павильон	038 Нага	-1	-1	-1	-1	-1	-1	
Врата Демонов	048 Демон	-1	-1	-1	-1	-1	-1	
Форт Людоедов	090 Огр	-1	-1	-1	-1	-1	-1	
Башня Орков	088 Орк	-1	-1	-1	-1	-1	-1	
Провал	050 Отродье Пропасти	-1	-1	-1	-1	-1	-1	
Пещера Драконов	082 Красный Дракон	-1	-1	-1	-1	-1	-1	
Гнездо на Скале	092 Птица Рух	-1	-1	-1	-1	-1	-1	
Мастерская	028 Гремлин	-1	-1	-1	-1	-1	-1	
Заоблачный Храм	040 Гигант	-1	-1	-1	-1	-1	-1	
Арка Дендроидов	022 Дендроид	-1	-1	-1	-1	-1	-1	
Питомник	070 Троглодит	-1	-1	-1	-1	-1	-1	
Водопад Нимф	197 Нимфа	-1	-1	-1	-1	-1	-1	
Пристанище Душ	060 Страж Могил	-1	-1	-1	-1	-1	-1	
Гнездо Виверн	108 Виверна	-1	-1	-1	-1	-1	-1	
Зачарованный Ручей	020 Пегас	-1	-1	-1	-1	-1	-1	
Заколдованная Роща	165 Хищный Энт	-1	-1	-1	-1	-1	-1	
Мавзолей	064 Лич	-1	-1	-1	-1	-1	-1	
Поместье	062 Вампир	-1	-1	-1	-1	-1	-1	
Проклятый Храм	056 Скелет	-1	-1	-1	-1	-1	-1	
Кладбище	058 Ходячий Мертвец	-1	-1	-1	-1	-1	-1	
Сторожевой Пост	000 Копейщик	-1	-1	-1	-1	-1	-1	
Башня Арбалетчиков	002 Арбалетчик	-1	-1	-1	-1	-1	-1	
Казармы Мечников	006 Мечник	-1	-1	-1	-1	-1	-1	
Волшебный фонарь	118 Дриада	-1	-1	-1	-1	-1	-1	
Алтарь Мыслей	120 Психический Элементаль	-1	-1	-1	-1	-1	-1	
Погребальный Костер	130 Жар-Птица	-1	-1	-1	-1	-1	-1	
Оледеневшие Скалы	132 Лазурный Дракон	-1	-1	-1	-1	-1	-1	
Кристаллическая Пещера	133 Кристальный Дракон	-1	-1	-1	-1	-1	-1	
