																							
ИМЯ	ПОЛ	АРТ	КЛАСС	1НАВ	1УР	2НАВ	2УР	КНИГА	ЗАКЛ	1СЛОТ	2СЛОТ	3СЛОТ	S	L	ФЛАГИ	0	0	1МИН	1МАКС	2МИН	2МАКС	3МИН	3МАКС
Оррин	0	0	0	1	1	-1	0	0	-1	0	2	4	6806772	6806781	257	0	0	10	10	4	4	2	2
Валеска	1	0	0	6	1	-1	0	0	-1	2	2	2	6806790	6806799	257	0	0	4	4	4	4	4	4
Эдрик	0	0	0	6	1	-1	0	0	-1	0	4	4	6806808	6806817	257	0	0	10	10	2	2	2	2
Сильвия	1	5	0	5	1	-1	0	0	-1	0	2	4	6806826	6806835	257	0	0	10	10	4	4	2	2
Лорд Хаарт	0	0	0	13	1	-1	0	0	-1	0	2	4	6806844	6806853	257	0	0	10	10	4	4	2	2
Сорша	1	0	0	6	1	-1	0	0	-1	0	2	6	6806862	6806871	257	0	0	10	10	4	4	1	1
Кристиан	0	0	0	6	1	-1	0	0	-1	0	0	0	6806880	6806889	257	0	0	10	10	10	10	10	10
Турис	1	0	0	-1	0	-1	0	0	-1	0	0	0	6806898	6806907	257	0	0	10	10	10	10	10	10
Рион	0	0	1	27	1	-1	0	1	32	0	2	4	6806916	6806925	257	0	0	10	10	4	4	2	2
Адель	1	0	1	16	1	-1	0	1	41	0	2	4	6806934	6806943	257	0	0	10	10	4	4	2	2
Катберт	0	0	1	4	1	-1	0	1	-1	0	2	4	6806952	6806962	257	0	0	10	10	4	4	2	2
Аделаида	1	0	1	4	1	-1	0	1	20	0	2	4	6806972	6806982	257	0	0	10	10	4	4	2	2
Ингхам	0	0	1	18	1	-1	0	1	2	0	2	4	6806992	6807002	257	0	0	10	10	4	4	2	2
Саня	1	0	1	4	1	-1	0	1	25	0	2	4	6807012	6807022	257	0	0	10	10	4	4	2	2
Лойнис	0	0	1	4	1	-1	0	1	48	0	2	4	6807032	6807042	257	0	0	10	10	4	4	2	2
Кейтлин	1	7	1	-1	0	-1	0	1	15	0	2	4	6807052	6807062	257	0	0	10	10	4	4	2	2
Мефала	1	0	2	9	1	-1	0	0	-1	14	14	14	6807072	6807082	257	0	0	9	9	9	9	9	9
Уфретин	0	0	2	9	1	-1	0	0	-1	16	16	16	6807092	6807102	257	0	0	5	5	5	5	5	5
Янова	1	0	2	3	1	-1	0	0	-1	14	16	18	6807112	6807122	257	0	0	9	9	5	5	2	2
Риланд	0	0	2	9	1	-1	0	0	-1	14	16	18	6807132	6807142	257	0	0	9	9	5	5	2	2
Торгрим	0	7	2	4	1	-1	0	0	-1	14	16	18	6807152	6807162	257	0	0	9	9	5	5	2	2
Ивор	0	0	2	9	1	-1	0	0	-1	14	18	18	6807172	6807182	257	0	0	9	9	2	2	2	2
Кланси	0	0	2	-1	0	-1	0	0	-1	14	14	14	6807192	6807202	257	0	0	9	9	9	9	9	9
Киррь	1	0	2	2	1	-1	0	0	-1	14	16	18	6807212	6807222	257	0	0	9	9	5	5	2	2
Короний	0	0	3	14	1	-1	0	1	55	14	16	18	6807232	6807242	257	0	0	9	9	5	5	2	2
Уланд	0	0	3	26	1	-1	0	1	37	14	16	18	6807252	6807262	257	0	0	9	9	5	5	2	2
Эллешар	0	0	3	24	1	-1	0	1	-1	14	16	18	6807272	6807282	257	0	0	9	9	5	5	2	2
Гем	1	0	3	27	1	-1	0	1	31	14	16	18	6807292	6807302	257	0	0	9	9	5	5	2	2
Мальком	0	6	3	-1	0	-1	0	1	15	14	16	18	6807312	6807322	257	0	0	9	9	5	5	2	2
Мелодия	1	0	3	26	1	-1	0	1	51	14	16	18	6807332	6807342	257	0	0	9	9	5	5	2	2
Алагар	0	0	3	26	1	-1	0	1	16	14	16	18	6807352	6807362	257	0	0	9	9	5	5	2	2
Аэрис	1	0	3	26	1	-1	0	1	-1	14	16	20	6807372	6807382	257	0	0	9	9	5	5	1	1
Пикедрам	0	0	4	21	1	-1	0	0	-1	30	30	30	6807392	6807402	257	0	0	5	5	5	5	5	5
Тан	0	0	4	21	1	-1	0	0	-1	28	30	32	6807412	6807422	257	0	0	15	15	5	5	3	3
Жозефина	1	0	4	21	1	-1	0	0	-1	28	32	32	6807432	6807442	257	0	0	15	15	3	3	3	3
Нила	1	0	4	10	1	-1	0	0	-1	28	28	28	6807452	6807462	257	0	0	15	15	15	15	15	15
Торосар	0	5	4	20	1	-1	0	0	-1	28	30	32	6807472	6807482	257	0	0	15	15	5	5	3	3
Фафнер	0	0	4	-1	0	-1	0	0	-1	30	30	30	6807492	6807502	257	0	0	5	5	5	5	5	5
Рисса	1	0	4	-1	0	-1	0	0	-1	28	30	32	6807512	6807522	257	0	0	15	15	5	5	3	3
Иона	1	6	4	21	1	-1	0	0	-1	28	30	32	6807532	6807542	257	0	0	15	15	5	5	3	3
Астрал	0	0	5	24	1	-1	0	1	60	28	30	32	6807552	6807562	257	0	0	15	15	5	5	3	3
Халон	0	0	5	8	1	-1	0	1	64	28	30	32	6807572	6807582	257	0	0	15	15	5	5	3	3
Серена	1	0	5	-1	0	-1	0	1	5	28	30	116	6807592	6807602	257	0	0	15	15	5	5	1	1
Дэйрмиф	1	0	5	15	1	-1	0	1	28	28	30	32	6807612	6807622	257	0	0	15	15	5	5	3	3
Теодор	0	0	5	24	1	-1	0	1	30	28	30	34	6807632	6807642	257	0	0	15	15	5	5	1	1
Солмир	0	0	5	24	1	-1	0	1	19	28	30	32	6807652	6807662	257	0	0	15	15	5	5	3	3
Кира	1	0	5	24	1	-1	0	1	53	28	30	32	6807672	6807682	257	0	0	15	15	5	5	3	3
Айн	1	0	5	7	1	-1	0	1	11	28	30	32	6807692	6807702	257	0	0	15	15	5	5	3	3
Фиона	1	0	6	2	1	-1	0	0	-1	42	46	46	6807712	6807722	257	0	0	20	20	2	2	2	2
Рашка	0	0	6	-1	0	-1	0	0	-1	42	42	42	6807732	6807742	257	0	0	20	20	20	20	20	20
Мариус	1	0	6	2	1	-1	0	0	-1	42	44	48	6807752	6807762	257	0	0	20	20	3	3	1	1
Игнатий	0	0	6	2	1	-1	0	0	-1	42	42	42	6807772	6807782	257	0	0	20	20	20	20	20	20
Октавия	1	5	6	19	1	-1	0	0	-1	42	44	46	6807792	6807802	257	0	0	20	20	3	3	2	2
Калх	0	0	6	11	1	-1	0	0	-1	44	44	44	6807812	6807822	257	0	0	3	3	3	3	3	3
Пир	1	0	6	21	1	-1	0	0	-1	42	44	46	6807832	6807842	257	0	0	20	20	3	3	2	2
Нимус	1	0	6	2	1	-1	0	0	-1	42	44	46	6807852	6807862	257	0	0	20	20	3	3	2	2
Айден	0	0	7	8	1	-1	0	1	56	42	44	46	6807872	6807882	257	0	0	20	20	3	3	2	2
Ксирон	0	0	7	8	1	-1	0	1	22	42	44	46	6807892	6807902	257	0	0	20	20	3	3	2	2
Аксис	0	0	7	8	1	-1	0	1	29	42	44	46	6807912	6807922	257	0	0	20	20	3	3	2	2
Олема	1	0	7	8	1	-1	0	1	42	42	44	46	6807932	6807942	257	0	0	20	20	3	3	2	2
Калид	1	0	7	-1	0	-1	0	1	15	42	44	46	6807952	6807962	257	0	0	20	20	3	3	2	2
Аш	1	0	7	14	1	-1	0	1	43	42	44	46	6807972	6807982	257	0	0	20	20	3	3	2	2
Зидар	0	0	7	25	1	-1	0	1	52	42	44	46	6807992	6808002	257	0	0	20	20	3	3	2	2
Ксарфакс	0	0	7	8	1	-1	0	1	21	42	44	46	6808012	6808022	257	0	0	20	20	3	3	2	2
Страйкер	0	0	8	12	1	-1	0	0	-1	58	58	58	6808032	6808042	257	0	0	7	7	7	7	7	7
Вокиал	0	0	8	12	1	-1	0	0	-1	56	58	62	6808052	6808062	257	0	0	13	13	7	7	1	1
Моандра	1	0	8	11	1	-1	0	0	-1	56	58	60	6808072	6808082	257	0	0	13	13	7	7	2	2
Чарна	1	0	8	12	1	-1	0	0	-1	56	60	60	6808092	6808102	257	0	0	13	13	2	2	2	2
Тамика	1	0	8	-1	0	-1	0	0	-1	56	56	56	6808112	6808122	257	0	0	13	13	13	13	13	13
Исра	1	0	8	12	1	-1	0	0	-1	56	58	60	6808132	6808142	257	0	0	13	13	7	7	2	2
Клавий	0	7	8	19	1	-1	0	0	-1	56	58	60	6808152	6808162	257	0	0	13	13	7	7	2	2
Галтран	0	0	8	10	1	-1	0	0	-1	56	56	56	6808172	6808182	257	0	0	13	13	13	13	13	13
Септиенна	1	0	9	12	1	-1	0	1	24	56	58	60	6808192	6808202	257	0	0	13	13	7	7	2	2
Айслинн	1	0	9	12	1	-1	0	1	-1	56	58	60	6808212	6808222	257	0	0	13	13	7	7	2	2
Сандро	0	0	9	25	1	-1	0	1	50	56	58	60	6808232	6808242	257	0	0	13	13	7	7	2	2
Нимбус	0	0	9	-1	0	-1	0	1	3	56	58	60	6808252	6808262	257	0	0	13	13	7	7	2	2
Тант	0	0	9	18	1	-1	0	1	39	56	58	60	6808272	6808282	257	0	0	13	13	7	7	2	2
Кси	1	0	9	17	1	-1	0	1	46	56	58	60	6808292	6808302	257	0	0	13	13	7	7	2	2
Видомина	1	0	9	12	1	-1	0	1	2	56	58	60	6808312	6808322	257	0	0	13	13	7	7	2	2
Нагаш	0	0	9	12	1	-1	0	1	33	57	57	57	6808332	6808342	257	0	0	10	10	10	10	10	10
Лорелей	1	0	10	19	1	-1	0	0	-1	72	72	72	6808352	6808362	257	0	0	4	4	4	4	4	4
Арлаш	0	5	10	20	1	-1	0	0	-1	70	72	74	6808372	6808382	257	0	0	16	16	4	4	2	2
Дайс	0	0	10	19	1	-1	0	0	-1	70	72	74	6808392	6808402	257	0	0	16	16	4	4	2	2
Аджит	0	0	10	19	1	-1	0	0	-1	70	74	74	6808412	6808422	257	0	0	16	16	2	2	2	2
Дамакон	0	0	10	13	1	-1	0	0	-1	70	72	74	6808432	6808442	257	0	0	16	16	4	4	2	2
Гуннар	0	0	10	2	1	-1	0	0	-1	70	72	74	6808452	6808462	257	0	0	16	16	4	4	2	2
Синка	1	0	10	-1	0	-1	0	0	-1	70	70	70	6808472	6808482	257	0	0	16	16	16	16	16	16
Шакти	1	0	10	19	1	-1	0	0	-1	70	70	70	6808492	6808502	257	0	0	16	16	16	16	16	16
Аламар	0	0	11	7	1	-1	0	1	38	70	72	74	6808512	6808522	257	0	0	16	16	4	4	2	2
Ягар	0	0	11	8	1	-1	0	1	81	70	72	74	6808532	6808542	257	0	0	16	16	4	4	2	2
Малекит	0	6	11	25	1	-1	0	1	-1	70	72	74	6808552	6808562	257	0	0	16	16	4	4	2	2
Джеддит	0	0	11	25	1	-1	0	1	10	70	72	76	6808572	6808582	257	0	0	16	16	4	4	1	1
Геон	0	0	11	17	1	-1	0	1	54	70	72	74	6808592	6808602	257	0	0	16	16	4	4	2	2
Димер	0	0	11	25	1	-1	0	1	23	70	72	74	6808612	6808622	257	0	0	16	16	4	4	2	2
Сефинрот	1	0	11	-1	0	-1	0	1	15	70	72	74	6808632	6808642	257	0	0	16	16	4	4	2	2
Дарксторм	0	0	11	25	1	-1	0	1	14	70	72	74	6808652	6808662	257	0	0	16	16	4	4	2	2
Йог	0	0	12	-1	0	-1	0	0	-1	84	84	84	6808672	6808682	257	0	0	18	18	18	18	18	18
Гурниссон	0	5	12	20	1	-1	0	0	-1	84	86	88	6808692	6808702	257	0	0	18	18	5	5	2	2
Джабаркас	0	0	12	11	1	-1	0	0	-1	84	88	88	6808712	6808722	257	0	0	18	18	2	2	2	2
Шива	1	0	12	22	1	-1	0	0	-1	84	86	88	6808732	6808742	257	0	0	18	18	5	5	2	2
Гретчин	0	0	12	22	1	-1	0	0	-1	84	84	84	6808752	6808763	257	0	0	18	18	18	18	18	18
Креллион	0	0	12	1	1	-1	0	0	-1	84	86	88	6808774	6808785	257	0	0	18	18	5	5	2	2
Крэг Хэк	0	0	12	22	1	-1	0	0	-1	84	86	88	6808796	6808807	257	0	0	18	18	5	5	2	2
Тираксор	0	0	12	22	1	-1	0	0	-1	86	86	86	6808818	6808829	257	0	0	5	5	5	5	5	5
Гирд	1	0	13	0	1	-1	0	1	17	84	86	88	6808840	6808851	257	0	0	18	18	5	5	2	2
Вей	0	0	13	0	1	-1	0	1	15	84	86	90	6808862	6808873	257	0	0	18	18	5	5	1	1
Десса	0	0	13	2	1	-1	0	1	15	84	86	88	6808884	6808895	257	0	0	18	18	5	5	2	2
Терек	0	0	13	0	1	-1	0	1	49	84	86	88	6808906	6808917	257	0	0	18	18	5	5	2	2
Зубин	0	6	13	0	1	-1	0	1	44	84	86	88	6808928	6808939	257	0	0	18	18	5	5	2	2
Гундула	1	0	13	22	1	-1	0	1	15	84	86	88	6808950	6808961	257	0	0	18	18	5	5	2	2
Орис	1	0	13	26	1	-1	0	1	15	84	86	88	6808972	6808983	257	0	0	18	18	5	5	2	2
Сауруг	0	0	13	-1	0	-1	0	1	15	84	86	88	6808994	6809005	257	0	0	18	18	5	5	2	2
Брон	0	0	14	23	1	-1	0	0	-1	98	100	106	6809016	6809027	257	0	0	14	14	3	3	1	1
Дрэйкон	0	0	14	10	1	-1	0	0	-1	98	98	98	6809038	6809049	257	0	0	14	14	14	14	14	14
Уистан	0	0	14	1	1	-1	0	0	-1	100	100	100	6809060	6809071	257	0	0	3	3	3	3	3	3
Тазар	0	0	14	23	1	-1	0	0	-1	98	100	104	6809082	6809093	257	0	0	14	14	3	3	2	2
Алкин	0	0	14	23	1	-1	0	0	-1	98	100	104	6809104	6809115	257	0	0	14	14	3	3	2	2
Корбак	0	0	14	23	1	-1	0	0	-1	98	104	104	6809126	6809137	257	0	0	14	14	2	2	2	2
Гервульф	0	0	14	6	1	-1	0	0	-1	98	100	104	6809148	6809159	257	0	0	14	14	3	3	2	2
Брохильд	0	0	14	-1	0	-1	0	0	-1	98	98	98	6809170	6809181	257	0	0	14	14	14	14	14	14
Мирланда	1	0	15	27	1	-1	0	1	45	98	100	104	6809192	6809203	257	0	0	14	14	3	3	2	2
Росик	1	0	15	8	1	-1	0	1	1	98	100	104	6809214	6809225	257	0	0	14	14	3	3	2	2
Вой	1	7	15	5	1	-1	0	1	0	98	100	104	6809236	6809247	257	0	0	14	14	3	3	2	2
Вердиш	1	0	15	27	1	-1	0	1	35	98	100	104	6809258	6809269	257	0	0	14	14	3	3	2	2
Мерист	1	0	15	26	1	-1	0	1	34	98	100	104	6809280	6809291	257	0	0	14	14	3	3	2	2
Стиг	1	0	15	27	1	-1	0	1	27	98	100	104	6809302	6809313	257	0	0	14	14	3	3	2	2
Андра	1	0	15	24	1	-1	0	1	2	98	100	104	6809324	6809335	257	0	0	14	14	3	3	2	2
Тива	1	0	15	23	1	-1	0	1	12	98	100	104	6809346	6809357	257	0	0	14	14	3	3	2	2
Пасис	1	0	16	-1	0	-1	0	0	-1	118	118	118	6809368	6809379	257	0	0	18	18	18	18	18	18
Тунар	1	0	16	3	1	-1	0	0	-1	118	112	115	6809390	6809401	257	0	0	18	18	2	2	1	1
Игнисса	1	0	16	3	1	-1	0	0	-1	118	112	114	6809412	6809423	257	0	0	18	18	2	2	1	1
Лакус	1	0	16	3	1	-1	0	0	-1	118	115	115	6809434	6809445	257	0	0	18	18	1	1	1	1
Монер	0	6	16	4	1	-1	0	0	-1	118	112	115	6809456	6809467	257	0	0	18	18	2	2	1	1
Эрдамон	0	0	16	3	1	-1	0	0	-1	118	112	115	6809478	6809489	257	0	0	18	18	2	2	1	1
Фиюр	0	0	16	21	1	-1	0	0	-1	118	112	115	6809500	6809511	257	0	0	18	18	2	2	1	1
Кальт	0	0	16	9	1	-1	0	0	-1	118	112	115	6809522	6809533	257	0	0	18	18	2	2	1	1
Луна	1	0	17	7	1	-1	0	1	13	118	112	115	6809544	6809555	257	0	0	18	18	2	2	1	1
Брисса	1	0	17	7	1	-1	0	1	69	112	112	112	6809566	6809577	257	0	0	2	2	2	2	2	2
Циэль	1	0	17	7	1	-1	0	1	15	118	112	115	6809588	6809599	257	0	0	18	18	2	2	1	1
Лабета	1	0	17	7	1	-1	0	1	4	118	118	118	6809610	6809621	257	0	0	18	18	18	18	18	18
