													
													
справка	#	36	-1	-1	800	600	100	-1	mopblack.pcx	999			
	P	111	0	0	800	600	mopbox.pcx	2048					
	P	111	25	26	749	550	mophelpbk.pcx	2048					
	T	999	0	580	800	20		msmlfont.fnt	1	0	1	8	
	T	1986	0	0	800	40	Справка по существам	bigfont.fnt	1	0	1	8	
	T	1987	25	40	190	30	{Выбор} {существа}	mepfont.fnt	1	0	1	8	
	P	97	231	69	544	508	mopsky.pcx	2048					
	A	6680	185	-205	450	416	mopsky.def	0	18				
	T	1	25	75	190	24		msmlfont.fnt	1	0	1	8	
	T	2	25	100	190	24		msmlfont.fnt	1	0	1	8	
	T	3	25	125	190	24		msmlfont.fnt	1	0	1	8	
	T	4	25	150	190	24		msmlfont.fnt	1	0	1	8	
	T	5	25	175	190	24		msmlfont.fnt	1	0	1	8	
	T	6	25	200	190	24		msmlfont.fnt	1	0	1	8	
	T	7	25	225	190	24		msmlfont.fnt	1	0	1	8	
	T	8	25	250	190	24		msmlfont.fnt	1	0	1	8	
	T	9	25	276	190	24		msmlfont.fnt	1	0	1	8	
	T	10	25	302	190	24		msmlfont.fnt	1	0	1	8	
	T	11	25	327	190	24		msmlfont.fnt	1	0	1	8	
	T	12	25	352	190	24		msmlfont.fnt	1	0	1	8	
	T	13	25	377	190	24		msmlfont.fnt	1	0	1	8	
	T	14	25	402	190	24		msmlfont.fnt	1	0	1	8	
	T	15	25	427	190	24		msmlfont.fnt	1	0	1	8	
	T	16	25	452	190	24		msmlfont.fnt	1	0	1	8	
	T	17	25	477	190	24		msmlfont.fnt	1	0	1	8	
	T	18	25	502	190	24		msmlfont.fnt	1	0	1	8	
	T	19	25	527	190	24		msmlfont.fnt	1	0	1	8	
	T	20	25	552	190	24		msmlfont.fnt	1	0	1	8	
	G	200	215	27	16	548	1 (номер управляющей функции в WERD)	255 (количество элементов прокрутки)	19 (количество позиций)	0 (стандартный цвет или из меню)	Прокрутить список существ	
	T	96	270	34	469	40		mbgfont.fnt	0	0	1	8	
	D	3333	231	69	544	508	MHelpTrs.def	0	16				
	P	1096	236	90	68	88	MPrtBrd.pcx	2048					
	D	95	241	102	58	64	TwCrPort.def	0	16	Нажмите для просмотра информации об опыте существа			
1	T	121	238	210	180	20	Улуч.	msmlfont.fnt	1	0	0	8	
	T	122	238	230	180	20	Некр.	msmlfont.fnt	1	0	0	8	
	T	123	238	250	180	20	Уровень	msmlfont.fnt	1	0	0	8	
	T	124	238	270	180	20	Атака	msmlfont.fnt	1	0	0	8	
	T	125	238	290	180	20	Защита	msmlfont.fnt	1	0	0	8	
	T	126	238	310	180	20	Урон	msmlfont.fnt	1	0	0	8	
	T	127	238	330	180	20	Здоровье	msmlfont.fnt	1	0	0	8	
	T	128	238	350	180	20	Скорость	msmlfont.fnt	1	0	0	8	
	T	129	238	370	180	20	Боезапас	msmlfont.fnt	1	0	0	8	
	T	130	238	390	180	20	Заклинания	msmlfont.fnt	1	0	0	8	
	T	131	238	410	180	20	Контрудары	msmlfont.fnt	1	0	0	8
	T	132	238	430	180	20	Fight Value	msmlfont.fnt	1	0	0	8	
	T	133	238	450	180	20	AI Value	msmlfont.fnt	1	0	0	8		
	T	134	238	470	180	20	Прирост	msmlfont.fnt	1	0	0	8	
	T	135	238	490	180	20	Дополнит. прирост	msmlfont.fnt	1	0	0	8	
	T	136	238	510	180	20	Количество на карте	msmlfont.fnt	1	0	0	8	
2	;T	138	418	230	180	20	Большой	msmlfont.fnt	1	0	0	8	
	;T	139	418	250	180	20	Летает	msmlfont.fnt	1	0	0	8	
	;T	140	418	270	180	20	Стреляет	msmlfont.fnt	1	0	0	8	
	;T	141	418	290	180	20	Дыхание дракона	msmlfont.fnt	1	0	0	8	
	;T	142	418	310	180	20	Живой	msmlfont.fnt	1	0	0	8	
	;T	143	418	330	180	20	Боевая машина	msmlfont.fnt	1	0	0	8	
	;T	144	418	350	180	20	Иммунитет к разуму	msmlfont.fnt	1	0	0	8	
	;T	145	418	370	180	20	Рукопашник	msmlfont.fnt	1	0	0	8
	;T	146	418	390	180	20	Иммунитет к огню	msmlfont.fnt	1	0	0	8
	;T	147	418	410	180	20	Двойной удар	msmlfont.fnt	1	0	0	8	
	;T	148	418	430	180	20	Безответный удар	msmlfont.fnt	1	0	0	8		
	;T	149	418	450	180	20	Нет боевого духа	msmlfont.fnt	1	0	0	8	
	;T	150	418	470	180	20	Нежить	msmlfont.fnt	1	0	0	8	
	;T	151	418	490	180	20	Круговая атака	msmlfont.fnt	1	0	0	8	
	;T	152	418	510	180	20	Расширенная стрельба	msmlfont.fnt	1	0	0	8	
3	T	153	598	70	180	20		msmlfont.fnt	1	0	1	8	
	T	154	598	90	180	20		msmlfont.fnt	1	0	1	8	
	T	155	598	110	180	20		msmlfont.fnt	1	0	1	8	
	T	156	598	130	180	20		msmlfont.fnt	1	0	1	8	
	T	157	598	150	180	20		msmlfont.fnt	1	0	1	8	
	T	158	598	170	180	20		msmlfont.fnt	1	0	1	8	
	T	159	598	190	180	20		msmlfont.fnt	1	0	1	8	
	T	160	598	210	180	20		msmlfont.fnt	1	0	1	8	
	T	161	598	230	180	20		msmlfont.fnt	1	0	1	8	
	T	162	598	250	180	20		msmlfont.fnt	1	0	1	8	
	T	163	598	270	180	20		msmlfont.fnt	1	0	1	8	
	T	164	598	290	180	20		msmlfont.fnt	1	0	1	8	
	T	165	598	310	180	20		msmlfont.fnt	1	0	1	8	
	T	166	598	330	180	20		msmlfont.fnt	1	0	1	8	
	T	167	598	350	180	20		msmlfont.fnt	1	0	1	8	
	T	168	598	370	180	20		msmlfont.fnt	1	0	1	8	
	T	169	598	390	180	20		msmlfont.fnt	1	0	1	8
	T	170	598	410	180	20		msmlfont.fnt	1	0	1	8
	T	171	598	430	180	20		msmlfont.fnt	1	0	1	8	
	T	172	598	450	180	20		msmlfont.fnt	1	0	1	8		
	T	173	598	470	180	20		msmlfont.fnt	1	0	1	8	
	T	174	598	490	180	20		msmlfont.fnt	1	0	1	8	
	T	175	598	510	180	20		msmlfont.fnt	1	0	1	8	
	;D	3007	622	389	20	18	smalres.def	0	16				
	;D	3007	622	409	20	18	smalres.def	1	16				
	;D	3007	622	429	20	18	smalres.def	2	16				
	;D	3007	622	449	20	18	smalres.def	3	16				
	;D	3007	622	469	20	18	smalres.def	4	16				
	;D	3007	622	489	20	18	smalres.def	5	16				
	;D	3007	622	509	20	18	smalres.def	6	16				
1	T	21	238	210	170	20		msmlfont.fnt	14	0	2	8	То, во что превратится существо после улучшения
	T	22	238	230	170	20		msmlfont.fnt	28	0	2	8	То, во что превратится существо в Преобразователе Нежити
	T	23	238	250	170	20		msmlfont.fnt	1	0	2	8	Уровень существа
	T	24	238	270	170	20		msmlfont.fnt	1	0	2	8	Атака существа
	T	25	238	290	170	20		msmlfont.fnt	1	0	2	8	Защита существа
	T	26	238	310	170	20		msmlfont.fnt	1	0	2	8	Урон существа
	T	27	238	330	170	20		msmlfont.fnt	1	0	2	8	Здоровье существа
	T	28	238	350	170	20		msmlfont.fnt	1	0	2	8	Скорость существа
	T	29	238	370	170	20		msmlfont.fnt	1	0	2	8	Боезапас существа
	T	30	238	390	170	20		msmlfont.fnt	1	0	2	8	Количество кастов заклинаний у существа
	T	31	238	410	170	20		msmlfont.fnt	1	0	2	8	Количество контрударов у существа в каждом раунде битвы
	T	32	238	430	170	20		msmlfont.fnt	1	0	2	8	Fight Value существа
	T	33	238	450	170	20		msmlfont.fnt	1	0	2	8	AI Value существа
	T	34	238	470	170	20		msmlfont.fnt	1	0	2	8	Прирост существа в городе
	T	35	238	490	170	20		msmlfont.fnt	1	0	2	8	Дополнительный прирост существа в городе (после постройки здания орды)
	T	36	238	510	170	20		msmlfont.fnt	1	0	2	8	Количество существ в отряде на карте
	;T	53	238	210	170	20		msmlfont.fnt	3	0	2	8	
	;T	54	238	230	170	20		msmlfont.fnt	1	0	2	8	
	;T	55	238	250	170	20		msmlfont.fnt	1	0	2	8	
	;T	56	238	270	170	20		msmlfont.fnt	1	0	2	8	
	;T	57	238	290	170	20		msmlfont.fnt	1	0	2	8	
	;T	58	238	310	170	20		msmlfont.fnt	1	0	2	8	
	;T	59	238	330	170	20		msmlfont.fnt	1	0	2	8	
	;T	47	617	390	151	20		msmlfont.fnt	1	0	2	8	Цена существа в дереве
	;T	48	617	410	151	20		msmlfont.fnt	1	0	2	8	Цена существа в ртути
	;T	49	617	430	151	20		msmlfont.fnt	1	0	2	8	Цена существа в камне
	;T	50	617	450	151	20		msmlfont.fnt	1	0	2	8	Цена существа в сере
	;T	51	617	470	151	20		msmlfont.fnt	1	0	2	8	Цена существа в кристаллах
	;T	52	617	490	151	20		msmlfont.fnt	1	0	2	8	Цена существа в драгоценных камнях
	;T	53	617	510	151	20		msmlfont.fnt	1	0	2	8	Цена существа в золоте
	T	99	238	530	530	40		msmlfont.fnt	1	0	0	8	
Left	;B	6668	446	84	10	44	scrnhrl.DEF	75	Предыдущий город				
	;D	100	465	72	150	75	MoPCrT.def	0	16	Выбранная фракция существ: {%Z40} (нажмите ПКМ для просмотра обитателей города)			
Right	;B	6669	624	84	10	44	scrnhrr.DEF	77	Следующий город				
	;T		464	143	152	18		msmlfont.fnt	1	0	1	8	
	B	30721	760	560	39	39	mboxbtn.def	28	Выход				
