ПРЕПЯТСТВИЯ					ПОЧВА		МОДИФИКАТОРЫ ПОЧВЫ									СОСЕДСТВО																																																																																																																		ПЕРЕКРЫТИЕ																																																																																																																	
Имя	Id	Имя типа	Тип	Подтип	Имя	Id	грязь	песок	трава	снег	болото	скалы	пещеры	лава	вода	дубы	кратер	бревно	цветы	озеро	холм	гора	овраг	сосны	скала	кусты	пень	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	кактус	дюны	гора	sand tree	кости	яма	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	дубы	кратер	цветы	озеро	холм	гора	овраг	сосны	скала	кусты	пень	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	мертвечина	пруд льда	гора	овраг	пень	скала	кусты	сосны	snow crystal mine	snow gold mine	snow sawmill	мертвечина	озеро	мандрагора	гора	скала	кусты	дубы	swamp tree	мох	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	скала	кратер	холм	гора	овраг	rough tree	кусты	кости	пень	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	кратер	мертвечина	грибы	озеро	озеро	потоки	гора	овраг	скала	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	кратер	озеро	потоки	гора	lava volcano	lava crystal mine	lava gold mine	lava sawmill	скала	water reef	руины	руины	гейзер	гейзер	стена	статуя	озеро	грибы	холм	плотояд	груз	дубы	кратер	бревно	цветы	озеро	холм	гора	овраг	сосны	скала	кусты	пень	dirt tree	dirt dirt veg clump	dirt crystal mine	dirt gold mine	dirt sawmill	кактус	дюны	гора	sand tree	кости	яма	sand desert veg clump	sand crystal mine	sand gold mine	sand sawmill	дубы	кратер	цеты	озеро	холм	гора	овраг	сосны	скала	кусты	пень	grass tree	grass grass veg clump	grass crystal mine	grass gold mine	grass sawmill	мертвечина	пруд льда	гора	овраг	пень	скала	кусты	сосны	snow crystal mine	snow gold mine	snow sawmill	мертвечина	озеро	мандрагора	гора	скала	кусты	дубы	swamp tree	мох	swamp swamp veg clump	swamp crystal mine	swamp gold mine	swamp sawmill	скала	кратер	холм	гора	овраг	rough tree	кусты	кости	пень	rough rough veg clump	rough crystal mine	rough gold mine	rough sawmill	кратер	мертвечина	грибы	озеро	озеро	потоки	гора	овраг	скала	cave cave veg clump	cave crystal mine	cave gold mine	cave sawmill	кратер	лава	потоки	гора	lava volcano	lava crystal mine	lava gold mine	lava sawmill	скала	water reef	руины	руины	гейзер	гейзер	стена	статуя	озеро	грибы	холм	плотояд	груз
							0	1	2	3	4	5	6	7	8	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114
Дубы	1	дубы	135	0	грязь	0	10	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	100	10	30	30	30	10	10	10	30	10	30	30	30	30	10	10	100	-5000	-5000	10	-5000	10	-5000	-5000	10	10	-5000	30	10	30	30	10	10	10	30	10	30	30	-5000	-5000	10	10	100	30	30	10	10	30	10	30	-5000	10	10	-5000	30	30	30	10	10	30	30	-5000	30	30	10	10	100	10	10	10	10	10	30	30	10	30	-5000	10	10	100	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	-5000	-5000	-5000	-5000	10	10	30	10	10	10	10	10	10	10	10	30	-5000	10	30	10	30	-5000	-5000	0	-5000	0	30	0	10	0	0	-5000	0	10	30	30	30	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	30	0	10	0	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	30	0	-5000	0	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	0	-5000	10	-5000	-5000	0	30	30	30	0	-5000	-5000	30	0	10	-5000	-5000	-5000	-5000	30	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	0	0	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000
Кратер	2	кратер	118	0	грязь	0	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Бревно	3	бревно	130	0	грязь	0	5	-5000	5	-5000	0	5	0	-5000	-5000	10	5	5	5	5	5	5	5	10	5	5	5	10	10	5	5	10	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	10	5	5	5	10	10	5	5	10	10	5	5	5	5	5	5	10	5	5	10	10	5	5	5	5	5	10	10	5	5	5	5	10	5	5	5	5	5	10	5	5	5	5	5	5	10	5	10	5	5	5	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	10	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	0	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Цветы	4	цветы	120	0	грязь	0	5	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	10	5	5	5	5	5	5	5	10	5	5	5	10	30	5	5	10	-5000	-5000	5	-5000	-5000	-5000	10	5	5	-5000	10	5	-10	5	5	5	5	10	5	-10	5	10	10	5	5	10	-5000	-5000	5	5	5	5	5	5	5	5	5	-5000	5	-10	5	5	-10	5	5	-10	-10	5	5	10	5	5	5	5	5	10	-10	-5000	5	10	5	5	10	5	-5000	-5000	5	-5000	-5000	5	5	5	10	5	5	-5000	5	-5000	-5000	-5000	-5000	5	5	-5000	10	10	5	5	5	5	5	5	5	-5000	5	-10	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Озеро	5	озеро	126	0	грязь	0	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	5	5	5	-5000	5	5	5	10	5	5	5	10	30	5	5	10	-5000	-5000	5	10	5	-5000	-5000	5	5	10	10	5	5	-5000	-10	5	5	10	5	5	5	10	10	5	5	10	-5000	-5000	5	5	5	5	5	-5000	5	5	-5000	5	-5000	5	5	5	5	10	10	5	5	5	5	10	5	5	-10	5	5	10	5	5	5	-5000	5	5	10	5	-5000	-5000	-5000	-5000	-5000	5	5	5	-5000	5	5	-5000	5	-5000	-5000	-5000	-5000	5	5	-5000	10	10	5	5	5	5	5	5	-5000	-5000	5	5	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
Холм	6	холм	133	0	грязь	0	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	5	5	5	5	5	-5000	10	10	5	10	5	5	5	5	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-10	5	5	5	5	-10	5	5	5	5	5	5	5	5	5	5	-10	5	-10	5	5	5	5	5	5	-10	5	5	-10	5	5	-10	-10	5	5	5	5	5	-10	5	5	5	-10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	-5000	-10	5	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000
Гора	7	гора	134	0	грязь	0	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	10	10	10	10	10	100	30	10	30	10	10	10	10	100	100	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	30	30	30	10	30	10	10	10	10	30	30	10	10	10	5	30	10	30	10	10	5	5	10	10	10	10	-5000	30	10	10	10	10	10	-5000	-5000	10	30	10	10	30	30	10	10	10	10	5	30	30	10	10	10	10	10	10	10	5	10	30	5	5	5	10	10	10	10	5	5	30	30	10	5	5	10	10	10	10	10	10	10	10	10	10	10	30	-5000	-5000	-5000	-5000	-5000	30	10	30	10	-5000	-5000	-5000	30	30	30	30	0	-5000	10	0	-5000	-5000	30	10	10	0	0	-5000	0	-5000	-5000	10	0	0	-5000	0	0	0	0	10	10	30	0	-5000	0	0	-5000	0	-5000	0	0	0	0	0	-5000	0	-5000	0	-5000	0	0	-5000	-5000	-5000	-5000	30	0	-5000	-5000	10	10	0	-5000	-5000	-5000	30	10	10	30	-5000	0	-5000	-5000	0	0	0	0	0	-5000	0	0	0	-5000	0	0	0	0	10	10	0	-5000	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
Овраг	8	овраг	136	0	грязь	0	5	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	10	10	10	10	10	10	30	-5000	10	30	10	10	10	10	30	30	10	10	10	30	10	10	10	5	30	30	10	10	10	10	10	10	30	-5000	10	30	10	10	10	10	30	30	10	10	10	-5000	-5000	10	-5000	10	10	-5000	-5000	10	10	10	10	5	5	10	10	10	10	10	5	5	10	30	10	10	30	-5000	10	10	10	10	5	30	30	10	10	10	10	10	10	10	30	-5000	30	5	30	30	10	10	10	10	30	30	30	30	10	10	10	10	10	10	10	10	10	10	10	10	10	10	-5000	-5000	-5000	-5000	-5000	-5000	10	30	-5000	10	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000	10	0	-5000	-5000	-5000	10	10	0	0	-5000	-5000	-5000	-5000	10	0	0	10	0	0	0	0	10	10	-5000	0	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000	-5000	0	0	-5000	0	0	0	-5000	0	0	-5000	-5000	0	0	-5000	10	-5000	-5000	10	10	0	-5000	-5000	-5000	-5000	10	10	-5000	-5000	0	-5000	-5000	-5000	-5000	0	0	0	-5000	0	0	0	-5000	-5000	-5000	-5000	-5000	10	10	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	0	-5000
Сосны	9	сосны	137	0	грязь	0	10	-5000	0	-5000	-5000	0	-5000	-5000	-5000	30	10	30	30	30	10	10	10	100	10	30	30	30	30	10	10	30	-5000	-5000	10	-5000	-5000	10	-5000	10	10	-5000	30	10	30	30	10	10	10	100	10	30	30	30	30	10	10	30	30	30	10	10	30	10	30	30	10	10	30	30	30	30	10	10	30	30	-5000	30	30	10	10	30	10	10	10	10	10	5	30	-5000	30	-5000	10	10	30	10	30	-5000	30	-5000	-5000	10	10	10	-5000	10	10	30	10	-5000	-5000	-5000	-5000	10	10	30	10	10	10	10	10	10	10	10	30	-5000	10	30	10	10	-5000	-5000	-5000	-5000	-5000	30	0	30	0	10	-5000	-5000	-5000	30	30	10	-5000	-5000	30	-5000	-5000	-5000	-5000	30	30	-5000	10	-5000	-5000	-5000	-5000	30	0	30	0	-5000	-5000	-5000	-5000	30	30	10	-5000	-5000	30	0	-5000	0	-5000	-5000	30	30	-5000	-5000	-5000	-5000	30	0	-5000	10	-5000	-5000	-5000	30	30	10	0	-5000	-5000	30	0	10	-5000	-5000	-5000	-5000	30	30	10	-5000	-5000	-5000	-5000	-5000	-5000	30	0	0	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	30	30	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000	-5000
