		
Wall Section	Hit Points (max is 3, only walls, towers, the gate, and the main building are used, unused must be 0)	
Castle		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Центральная башня	2	
Охрана центральной башни	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Rampart		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана Главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Tower		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана Главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Inferno		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Necropolis		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Dungeon		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Stronghold		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Fortress		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Conflux		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
		
Cove		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Forge		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	

Bastion		
Подъемный мост	0	
Канат подъемного моста	0	
Ров	0	
Край рва	0	
Задняя стена	0	
Верхняя башня	2	
Верхняя стена	2	
Верхняя опора	0	
Средняя верхняя стена	2	
Ворота	2	
Средняя нижняя стена	2	
Нижняя опора	0	
Нижняя стена	2	
Нижняя башня	2	
Главное здание	2	
Охрана главного здания	0	
Охрана нижней башни	0	
Охрана верхней башни	0	
