													Combat Value (count*AI_value/38)															
Имя банка	Уровень	Шанс	Кол-во		Апгрейд								дерево	ртуть	руда	сера	кристал	самоцве	золото	монстр		арт-T	арт-N	арт-J	арт-R			
Склады Циклопов	1	30%	15		50%	0	0	0	0	0	0	770	4	4	4	4	4	4	0	0		0	0	0	0			
	2	30%	20		50%	0	0	0	0	0	0	1027	6	6	6	6	6	6	0	0		0	0	0	0			
	3	30%	25		50%	0	0	0	0	0	0	1284	8	8	8	8	8	8	0	0		0	0	0	0			
	4	10%	30		50%	0	0	0	0	0	0	1541	10	10	10	10	10	10	0	0		0	0	0	0			
Сокровищница Гномов	1	25%	50		50%	0	0	0	0	0	0	194	0	0	0	0	4	0	1400	0		0	0	0	0			
	2	25%	75		50%	0	0	0	0	0	0	292	0	0	0	0	6	0	2100	0		0	0	0	0			
	3	25%	100		50%	0	0	0	0	0	0	389	0	0	0	0	8	0	2800	0		0	0	0	0			
	4	25%	125		50%	0	0	0	0	0	0	486	0	0	0	0	10	0	3500	0		0	0	0	0			
Консерватория Грифонов	1	30%	50		50%	0	0	0	0	0	0	398	0	0	0	0	0	0	0	1	ангелы	0	0	0	0			
	2	30%	100		50%	0	0	0	0	0	0	797	0	0	0	0	0	0	0	2		0	0	0	0			
	3	30%	150		50%	0	0	0	0	0	0	1196	0	0	0	0	0	0	0	3		0	0	0	0			
	4	10%	200		50%	0	0	0	0	0	0	1594	0	0	0	0	0	0	0	4		0	0	0	0			
Тайник Бесов	1	25%	200		50%	0	0	0	0	0	0	200	0	4	0	0	0	0	1400	0		0	0	0	0			
	2	25%	300		50%	0	0	0	0	0	0	300	0	6	0	0	0	0	2100	0		0	0	0	0			
	3	25%	400		50%	0	0	0	0	0	0	400	0	8	0	0	0	0	2800	0		0	0	0	0			
	4	25%	500		50%	0	0	0	0	0	0	500	0	10	0	0	0	0	3500	0		0	0	0	0			
Хранилище Медуз	1	25%	16		50%	0	0	0	0	0	0	200	0	0	0	4	0	0	1400	0		0	0	0	0			
	2	25%	24		50%	0	0	0	0	0	0	300	0	0	0	6	0	0	2100	0		0	0	0	0			
	3	25%	32		50%	0	0	0	0	0	0	400	0	0	0	8	0	0	2800	0		0	0	0	0			
	4	25%	40		50%	0	0	0	0	0	0	501	0	0	0	10	0	0	3500	0		0	0	0	0			
Банк Наг	1	30%	5		50%	0	0	0	0	0	0	291	0	0	0	0	0	6	2100	0		0	0	0	0			
	2	30%	10		50%	0	0	0	0	0	0	582	0	0	0	0	0	12	4200	0		0	0	0	0			
	3	30%	15		50%	0	0	0	0	0	0	874	0	0	0	0	0	18	6300	0		0	0	0	0			
	4	10%	20		50%	0	0	0	0	0	0	1165	0	0	0	0	0	24	8400	0		0	0	0	0			
Улей Змиев	1	25%	50		50%	0	0	0	0	0	0	281	0	0	0	0	0	0	0	4	виверны	0	0	0	0			
	2	25%	75		50%	0	0	0	0	0	0	422	0	0	0	0	0	0	0	6		0	0	0	0			
	3	25%	100		50%	0	0	0	0	0	0	563	0	0	0	0	0	0	0	8		0	0	0	0			
	4	25%	125		50%	0	0	0	0	0	0	703	0	0	0	0	0	0	0	10		0	0	0	0			
Кораблекрушение	1	25%	30	стражи	0%	0	0	0	0	0	0	191	0	0	0	0	0	0	2666	0		0	0	0	0			
	2	25%	45		0%	0	0	0	0	0	0	287	0	0	0	0	0	0	4000	0		0	0	0	0			
	3	25%	60		0%	0	0	0	0	0	0	383	0	0	0	0	0	0	5333	0		0	0	0	0			
	4	25%	75		0%	0	0	0	0	0	0	479	0	0	0	0	0	0	6666	0		0	0	0	0			
Покинутый Корабль	1	30%	35	водяные	0%	0	0	0	0	0	0	303	0	0	0	0	0	0	4200	0		0	0	0	0			
	2	30%	70		0%	0	0	0	0	0	0	606	0	0	0	0	0	0	6800	0		1	0	0	0			
	3	30%	105		0%	0	0	0	0	0	0	909	0	0	0	0	0	0	9500	0		0	1	0	0			
	4	10%	140		0%	0	0	0	0	0	0	1212	0	0	0	0	0	0	10500	0		0	2	0	0			
Склеп	1	25%	65	скелеты	0%	35	0	0	0	0	0	200	0	0	0	0	0	0	2800	0		0	0	0	0			
	2	25%	65	мертвец	0%	35	15	0	0	0	0	296	0	0	0	0	0	0	4200	0		0	0	0	0			
