Rollover Text	Right-Click Text
Note: Do not change the headings in this file, they are used to detect problems
	_6A6C8C
	
	
	
	
	
	_6A6CB4
New Game	_6A6C64
СЦЕНАРИЙ	{Одиночная игра}

Играть в имеющиеся сценарии или создать случайную карту для игры.
КАМПАНИЯ	{Кампания}

Играть в Кампанию ""Возрождение Эрафии"".
МУЛЬТИПЛЕЙЕР	{Многопользовательская игра}

Играть через Интернет, Локальную сеть, Модем, Прямое соединение или же на одном компьютере с оппонентом.
ОБУЧЕНИЕ	{Учебник}

Играть по учебному сценарию, демонстрирующему азы Героев III.
НАЗАД	{Назад}

Вернуться в предыдущее меню.
	_6A6C8C
Single Scenario Selection	_6A6CEC
100	<пусто>
101	Выбрать сценарий
102	Установить продвинутые опции
103	Сформировать и создать случайную карту
104	Имя сценария
105	Введение в миссию сценария
106	{Опции дополнения ""Во Имя Богов""}

Открыть меню опций карты, меняющих или дополняющих те или иные аспекты игры.
107	{Сложность — Легко}

Игрок начинает с большим запасом ресурсов, компьютер играет слабо.
108	{Сложность — Нормально}

Игрок начинает со средним запасом ресурсов, компьютер играет достаточно хорошо.	
109	{Сложность — Сложно}

Игрок начинает с таким же запасом ресурсов, как и компьютер, компьютер играет на пределе своих возможностей.
110	{Сложность — Эксперт}

Игрок начинает с уменьшенным запасом ресурсов, компьютер играет на пределе своих возможностей.
111	{Сложность — Невозможно}

Игрок начинает без запаса ресурсов, компьютер играет на пределе своих возможностей.
112	Это ваш цвет
113	Это цвет ваших союзников
114	Это цвет ваших союзников
115	Это цвет ваших союзников
116	Это цвет ваших союзников
117	Это цвет ваших союзников
118	Это цвет ваших союзников
119	Это цвет ваших союзников
120	Это цвет ваших врагов
121	Это цвет ваших врагов
122	Это цвет ваших врагов
123	Это цвет ваших врагов
124	Это цвет ваших врагов
125	Это цвет ваших врагов
126	Это цвет ваших врагов
127	Это цвет ваших врагов
128	Показать/Спрятать список сценариев
129	Показать/Спрятать дополнительные опции
130	Играть случайно созданную карту
131	Переключиться между окном миссии и окном чата
132	Это позволяет вам изменять общую сложность миссии
133	Показывает общую сложность, основанную на настройках Карты и Игрока
134	Сложность карты может быть Простой, Нормальной, Сложной, Эксперт и Нереальной
135	Условия победы для данного сценария
136	Условия поражения для данного сценария
137	Просмотр всех маленьких карт
138	Просмотр всех средних карт
139	Просмотр всех больших карт
140	Просмотр всех очень больших карт
141	Просмотр всех карт
142	SCENARIO_NAME_1 
143	SCENARIO_NAME_2 
144	SCENARIO_NAME_3 
145	SCENARIO_NAME_4 
146	SCENARIO_NAME_5 
147	SCENARIO_NAME_6 
148	SCENARIO_NAME_7 
149	SCENARIO_NAME_8 
150	SCENARIO_NAME_9 
151	SCENARIO_NAME_10 
152	SCENARIO_NAME_11 
153	SCENARIO_NAME_12 
154	SCENARIO_NAME_13 
155	SCENARIO_NAME_14 
156	SCENARIO_NAME_15 
157	SCENARIO_NAME_16 
158	SCENARIO_NAME_17 
159	SCENARIO_NAME_18 
