Comment	Message Text
0% Ранг Опыта Отряда	Нет ранга
10%	Новички
20%	Тренн.
30%	Умелые
40%	Продв.
50%	Ветераны
60%	Адепты
70%	Эксперты
80%	Элитные
90%	Мастера
100%	Асы
Сообщение при блоке	Отряду удалось блокировать следующий удар
13	Опыт Армии
14	 [Ранг 
15	] имеет 
16	] имеют 
17	 из 
18	 очков опыта.
19	Проц. опыта
20	Процент рангов опыта
21	Опыт ранга
22	Всего очков опыта для каждого ранга
23 A	Атака
24 A	Бонус Атаки
25 D	Защита
26 D	Бонус Защиты
27 H	Здоровье
28 H	Бонус Здоровья
29 m	Мин. Урона
30 m	Бонус Минимума Урона
31 M	Макс. Урона
32 M	Бонус Максимума Урона
33 S	Скорость
34 S	Бонус Скорости
35 O	Выстрелы
36 O	Число доп. выстрелов
37 P	Заклинания
38 P	Число доп. творений заклинаний
39 f,F	Полет
40 f,F	Существо может летать
41 f,F	Может летать (игнорирует препятствия)
42 f,S	Стрелок
43 f,S	Существо может стрелять
44 f,S	Может стрелять
45 f,B	Дых. Дракона
46 f,B	Существо бьет на 2 клетки
47 f,B	Бьет на 2 клетки
48 f,L	Живой
49 f,L	Живое существо
50 f,L	Живое существо
51 f,1	КОРОЛЬ 1
52 f,1	Существо относится к группе КОРОЛЬ 1 
53 f,1	Относится к группе КОРОЛЬ 1 
54 f,2	КОРОЛЬ 2
55 f,2	Существо относится к группе КОРОЛЬ 2
56 f,2	Относится к группе КОРОЛЬ 2
57 f,3	КОРОЛЬ 3
58 f,3	Существо относится к группе КОРОЛЬ 3
59 f,3	Относится к группе КОРОЛЬ 3
60 f,P	Разум
61 f,P	Существо невосприимчиво к магии Разума
62 f,P	Иммунитет к магии Разума
63 f,E	Рукопашник
64 f,E	Существо не имеет штрафа рукопашной
65 f,E	Нет штрафа рукопашной
66 f,I	Огонь
67 f,I	Существо невосприимчиво к магии Огня
68 f,I	Иммунитет к магии Огня
69 f,D	Дв. удар
70 f,D	Существо наносит 2 удара
71 f,D	Двойной удар
72 f,R	Нет ответа
73 f,R	Враг не отвечает на атаки
74 f,R	Враг не отвечает на атаки
75 f,M	Боевой Дух
76 f,M	На существо не действует Боевой Дух
77 f,M	Независимый Боевой Дух
78 f,U	Нежить
79 f,U	Существо является нежитью
80 f,U	Существо является нежитью
81 f,A	Вращение
82 f,A	Существо бьет по всем вокруг
83 f,A	Атака всех вокруг
84 f,G	Дракон
85 f,G	Существо имеет природу дракона
86 f,G	Природа Дракона
87 -	??Не назначено??
88 B	Блокирование
89 B	Пролное блокирование физического урона
90 B	Имеет шанс избежать физ. урона
91	??Не назначено??
92	Текущий бонус армии : 
93	HET
94	ECTb
95	HET
96	Не задано
97	у существа ЕСТЬ этот Бонус
98	у существа НЕТ этого Бонуса
99	+
100	+
101	%
102	=
103 C	Мана
104 C	Уменьшает цену заклинаний для своего героя
105 C	Уменьшает цену заклинаний (Мана)
106	"Посмотреть Бонусы для Улучшенных/Не-улучшенных Существ"
107 F	Страх
108 F	Имеет шанс испугать вражеский отряд
109 F	Страшный
110 R	Ответ
111 R	Может отвечать несколько раз
112 d	Защита
113 d	Бонус Защиты
114 W	Сопротивление
115 W	Имеет шанс избежать действия враж. заклинания (Как Гном)
116 i	Дистанция
117 i	Нет штрафа дистанции
118 i	Нет штрафа дистанции
119 o	Препятствия
120 o	Нет штрафа за преграды
121 o	Нет штрафа за преграды
122	Отряд может получить ранги: Новички /Тренн. /Умелые /Продв. /Ветераны /Адепты /Эксперты /Элитные /Мастера /Асы
123 e	Смерт. Удар
124 e	Имеет шанс нанести двойной урон Смертельным Ударом
125 e	Двойной урон Смертельным Ударом
126 h	Враг
127 h	Наносит больший урон конкретному Существу
128 h	Наносит больший урон : 
129 h	Природный Враг : 
130 c	Заклинатель
131 c	Может творить заклинание при атаке
132 c	Может творить : 
133 s	Зачарованный
134 s	Отряд усилен заклинанием 
135 s	Нет
136 s	Базов.
137 s	Продв.
138 s	Эксперт
139 s	Отряд имеет Бонус : %s 
140 p	Магический
141 p	Может творить Эксп./Общее заклинание перед атакой
142 p	Может творить (перед атакой) Эксп./Общее заклинание : 
143 s	Общее заклинание : 
144 h	Наносит меньший урон конкретному Существу
145 h	Наносит меньший урон : 
146 a	Магический
147 a	Может творить Эксп./Общее заклинание после атаки
148 a	Может творить (после атаки) Эксп./Общее заклинание : 
149 f,b	Возвращается
150 f,b	Возвращается на начальную позицию после рукопашной атаки
151 f,b	Атакует и возвращается
152 w,1	Иммунитет 1
153 w,1	Иммунитет к заклинаниям 1 ур.
154 w,1	Иммунитет к заклинаниям 1 ур.
155 w,2	Иммунитет 2
156 w,2	Иммунитет к заклинаниям 1 и 2 ур.
157 w,2	Иммунитет к заклинаниям 1 и 2 ур.
158 w,3	Иммунитет 3
159 w,3	Иммунитет к заклинаниям 1, 2 и 3 ур.
160 w,3	Иммунитет к заклинаниям 1, 2 и 3 ур.
161 w,4	Иммунитет 4
162 w,4	Иммунитет к заклинаниям 1, 2, 3 и 4 ур.
163 w,4	Иммунитет к заклинаниям 1, 2, 3 и 4 ур.
164 w,5	Иммунитет 5
165 w,5	Иммунитет к заклинаниям 1, 2, 3, 4 и 5 ур.
166 w,5	Иммунитет к заклинаниям 1, 2, 3, 4 и 5 ур.
167 w,C	Имм к морозу
168 w,C	Иммунитет к морозным заклинаниям (Лед. стрела, Кольцо мороза)
169 w,C	Иммунитет к морозным заклинаниям (Лед. стрела, Кольцо мороза)
170 w,R	Армагеддонец
171 w,R	Иммунитет к Армагеддону
172 w,R	Иммунитет к Армагеддону
173 w,A	Возд. иммун.
174 w,A	Иммунитет к магии Воздуха
175 w,A	Иммунитет к магии Воздуха
176 w,F	Огн. иммун.
177 w,F	Иммунитет к магии Огня
178 w,F	Иммунитет к магии Огня
179 w,W	Водн. иммун.
180 w,W	Иммунитет к магии Воды
181 w,W	Иммунитет к магии Воды
182 w,E	Земл. иммун.
183 w,E	Иммунитет к магии Земли
184 w,E	Иммунитет к магии Земли
185 w,L	Эл. иммун.
186 w,L	Иммунитет к электрическим заклинаниям
187 w,L	Иммунитет к электрическим заклинаниям
188 w,0	Податливый
189 w,0	Нет иммунитета к друж. заклинаниям
190 w,0	Нет иммунитета к друж. заклинаниям
191 w,M	Метеор.дождь
192 w,M	Иммунитет к граду камней
193 w,M	Иммунитет к граду камней
194 w,I	Взрыв
195 w,I	Иммунитет к взрыву
196 w,I	Иммунитет к взрыву
197 w,P	Рассеивание
198 w,P	Иммунитет к Рассеиванию
199 w,P	Иммунитет к Рассеиванию
200 w,E	Рассеивание+
201 w,E	Иммунитет к Рассеиванию друж. заклинаний
202 w,E	Иммунитет к Рассеиванию друж. заклинаний
203 w,B	Слепота
204 w,B	Иммунитет к Слепоте
205 w,B	Иммунитет к Слепоте
206 w,K	Берсерк
207 w,K	Иммунитет к Берсерку
208 w,K	Иммунитет к Берсерку
209 w,H	Гипноз
210 w,H	Иммунитет к Гипнозу
211 w,H	Иммунитет к Гипнозу
212 w,S	Медлительность
213 w,S	Иммунитет к Медлительности
214 w,S	Иммунитет к Медлительности
215 b	Уменьш. Защиты
216 b	Уменьшает вражескую Защиту на опред. процент во время атаки
217 b	Уменьшает вражескую Защиту
218	Чемпион
219	Кавалерийский Бонус (+5% урона за клетку разбега)
220	Кавалерийский Бонус
221	- 
222	Голем
223	Сопротивление урона от магии (как Големы)
224	Регенерация
225	Может восстанавливать здоровье
226	Имеет 
227	% шанс Регенерировать 
228	 ОЗ
229	Боевой Дух
230	Всегда положит. Боевой Дух
231	Всегда положит. Боевой Дух
232	Абс. стрелок
233	Может стрелять вплотную к врагу
234	Может стрелять вплотную к врагу
235	Общее заклинание (с иммунитетом существ): 
236	Дополнительные Заклинания
237	Дополнительные Боеприпасы
238	Дополнительные контрудары
239	Дополнительные Бонусы к Защите, если Отряд стоит в обороне
240	Имеет шанс Сопротивления враж. магии (как Гном)
241	Сопротивление урону от магии (как Голем)
242	 (включая дружественную магию)
243	Бесстрашный
244	Иммунитет к Страху
245	Иммунитет к Страху
246	Возрождение
247	После гибели, 20% отряда Воскресает
248	После гибели, 20% отряда Воскресает
249	Маг. Аура
250	Маг. Аура Единорога (+20% Сопротивления у окружающих)
251	Маг. Аура Единорога (+20% Сопротивления у окружающих)
252	Увел. Шанс
253	Увеличенный шанс срабатывания способности
254	Увеличенный шанс срабатывания способности
255 s,6	Общее Заклинание (с иммунитетом других существ): 
Partial Block message	Отряд частично поглощает урон ( %i%% урона, %i%% шанс)
257 Deflect	Поглощение
258 Deflect	Имеет шанс частично Блокировать Физ. Урон
259 Deflect	Имеет 
260 Deflect	% шанса Блокировать часть урона
261 Deflect	Имеет шанс Блокировать 
262 Deflect	% урона
263 s	Массовый
264 s	Массовый+R
265 s	Массовый+RE
266 w,O	Огонь+
267 w,O	Иммунитет к урону от магии огня (кроме Волшебной Стрелы)
268 w,O	Иммунитет к урону от магии огня (кроме Волшебной Стрелы)
269 w,D	Прицельный
270 w,D	Иммунитет к урону от прицельных заклинаний
271 w,D	Иммунитет к урону от прицельных заклинаний
272 w,p	Расс. Вр.
273 w,p	Иммунитет к Враж. рассеиванию
274 w,p	Иммунитет к Враж. рассеиванию
275 w,m	Желез. Воля
276 w,m	Иммунитет к враж. магии разума
277 w,m	Иммунитет ко всей магии разума кроме Радости и Бешенства
278 w,?	
279 w,?	
280 w,?	
281 w,?	
282 w,?	
283 w,?	
284 w,?	
285 w,?	
286 w,?	
287 w,?	
288 w,?	
289 w,?	
290 w,?	
291 w,?	
292 w,?	
293 w,?	
294 w,?	
295 w,?	
296 w,?	
297 w,?	
298 w,?	
299 w,?	
300 w,?	
301 w,?	
302 G	Гвардия Санты
303 G	Охрана Санта-Гремлинов улучшается
304 G	Имеет улучшеную охрану
305 G	Имеет больше охранников
306 G	Имеет улучшеную охрану
307 G	Имеет больше охранников
308 U	Призыв
309 U	Призывает Отряд % количества каждый 4й ход (начиная со второго)
310 U	Призывает Отряд % количества каждый 4й ход (начиная со второго)
311 U	Призывает каждый 4й ход (начиная со второго) отряд 
312 u	Один призыв
313 u	Призывает Отряд % количества на второй ход битвы
314 u	Призывает Отряд % количества на второй ход битвы
315 u	Призывает один раз во втором раунде Отряд 
316 l	Призыв Клона
317 l	Призывает "Клон" Отряда % количества каждый ход (начиная со второго)
318 l	Призывает "Клон" Отряда % количества каждый ход (начиная со второго)
319 l	Призывает каждый ход (начиная со второго)
"Клон" Отряда 
320	 (кроме дружеств.)
321	, шанс -  
322	 БОЛЬШЕ Урона
323	 МЕНЬШЕ Урона
324	.  Наносит 
325	
»И н ф о р м а ц и я   п о   О п ы т у   А р м и и«

Тип существа .................... : %s
Ранг Опыта ...................... : %s (%i)
Очков Опыта ..................... : %i
Очки Опыта до следующего Ранга .. : %i
Максимум опыта за битву ......... : %i%% (%i)
Число Существ в отряде .......... : %i
Максимум Новых Рекрутов
 без потери текущего ранга ...... : %i
Коэффициент Опыта ............... : %.2f
Коэффициент Улучшения ........... : %.2f
Опыт после Ранга 10 ............. : %i
Максимум Новых Рекрутов, чтобы остаться
 в Ранге 10, при максимуме опыта  : %i
326	Колдун
327	Может творить Продвинутые Заклинания перед атакой
328	Может творить (перед атакой) Продвинутое Заклинание : 
329	Волшебник
330	Может творить Базовые Заклинания перед атакой
331	Может творить (перед атакой) Базовое Заклинание :
332	Колдун
333	Может творить Продвинутые Заклинания после атаки
334	Может творить (после атаки) Продвинутое Заклинание :
335	Волшебник
336	Может творить Базовые Заклинания после атаки
337	Может творить (после атаки) Базовое Заклинание :
338	Посмотреть инф-ю по Улучш. существу (если возможно)

Опыт будет пересчитан по коэффициенту улучшения.
339	Активируйте действие Артефакта
340	+2 Здоровья плюс удвоение текущего бонуса здоровья в бою
341	+2 Атаки плюс удвоение текущего бонуса атаки в бою
342	+2 Защиты плюс удвоение текущего бонуса защиты в бою
343	+1 Урона плюс удвоение текущего бонуса урона (макс. и мин.) в бою
344	+1 Скорости плюс удвоение текущего бонуса скорости в бою
345	+50% опыта, получаемого отрядом за бой
346	Уменьшение защиты цели на 25%
347	25% шанс блокирования 50% повреждений
348	2 Дополнительных ответа на атаки
349	Опция Артефакта 9
350	Опция Артефакта 10
351	Опция Артефакта 11
352	Опция Артефакта 12
353	Опция Артефакта 13
354	Опция Артефакта 14
355	Опция Артефакта 15
356	[<POSITION=C>]Вы не можете изменить настройки,
находясь в бою или просматривая
информацию по улучшенным существам.
357	Вы не можете отдать артефакт отряду, потому что система опыта армий отключена.
358	Существа не могут использовать этот артефакт.
359	Этот отряд уже имеет Артефакт.
360	Невозможно добавить артефакт (внутр. причина).
361	[<POSITION=C>]Этот Артефакт дает следующий Бонус:
%s

Бонус можно изменить по правому клику.
362	Отряд может иметь арефакт, усиливающий способности от опыта (чтобы передать арт. отряду, перенесите его в выбранный слот армии)
363	[<POSITION=C>]Отряд может иметь арефакт, усиливающий способности от опыта 
(чтобы передать арт. отряду, перенесите его в выбранный слот армии)
364	Текущий Бонус : %s (Левый клик -> вернуть герою, Правый клик -> сменить действие Артефакта)
365	Этот Бонус дает отряду доп. боеприпасы в битве, чтобы
использовать стрельбу большее число ходов.
366	Этот Бонус дает отряду доп. возможность творить заклинания в битве
Например, Архангел может воскрешать более одного раза в битве;
Феникс может возрождаться еще раз, и т.д.
367	Этот Бонус дает отряду способность Внушать Страх. Враж. солдаты, не 
имеющие иммунитета к Страху, имеют шанс застыть на раунд и пропустить
свой ход.
368	Этот Бонус дает отряду доп. контрудары, так что он может
отвечать на несколько атак за один ход.
369	Этот Бонус дает отряду временное увеличение защиты, если отряд
занимает оборонительную позицию. Этот бонус добавляется к 
стандартному бонусу защиты.
370	Этот Бонус дает отряду усиленное Сопротивление. Это сопротивление
природы "гномов", т.е. отряд имеет шанс полностью избежать вреда,
но при неудаче - заклинание сработает на полную мощность.
Сопротивление дополняет уже имеющееся у данного существа. 
371	Этот Бонус дает отряду Сопротивление заклинаниям, наносящим урон.
Это природа "големов", поэтому снижает урон от заклинания на 
фиксированный процент.
372	Этот Бонус убирает природный штраф дистанции для отряда,
стреляющего с большой дистанции.
